["2015", "09"]	[511130.0238095238, 6575007525031.816]
["2015", "10"]	[617120.9283707865, 6351912456529.025]
["2015", "12"]	[676801.2943100065, 8280026429333.4795]
["2016", "02"]	[699891.4884663342, 12805679682947.633]
["2016", "04"]	[1453811.85509839, 28151713317813.887]
["2016", "06"]	[1590509.3207848598, 49493950288416.99]
["2016", "08"]	[1145195.6850787767, 59338119960680.43]
["2016", "11"]	[1488459.4490766649, 68392929882483.93]
["2017", "01"]	[1645004.5666060764, 101441916721288.06]
["2017", "03"]	[1900062.4476502456, 198132058062115.0]
["2017", "05"]	[2555896.5429241275, 427943193614743.8]
["2017", "07"]	[4635260.841524708, 1188209445191042.5]
["2017", "09"]	[6259570.235479398, 2472615368389359.0]
["2017", "10"]	[5744839.77941408, 1982205861334579.8]
["2017", "12"]	[7348227.023722457, 1715527999392166.0]
["2018", "02"]	[7408453.419146736, 2904709176436539.0]
["2018", "04"]	[7339641.553098808, 3152081258617400.0]
["2018", "06"]	[7704112.409546432, 3312525280779383.5]
["2018", "08"]	[7626441.449449848, 3524781455793420.5]
["2018", "11"]	[6591821.474788537, 2867483299389692.0]
["2019", "01"]	[7227507.102983546, 2647277315508496.5]
["2019", "03"]	[7153174.262677149, 1861662833720996.0]
["2019", "05"]	[7600090.315332367, 2006025542803913.8]
["2015", "08"]	[342633.8565400844, 4001527822780.391]
["2015", "11"]	[583187.0693153001, 7770939637944.217]
["2016", "01"]	[695822.0702730031, 9504433076575.49]
["2016", "03"]	[1344195.8812997348, 19503022691379.637]
["2016", "05"]	[1649703.1031405525, 38924813929437.58]
["2016", "07"]	[1109384.0947795825, 57858382394762.78]
["2016", "09"]	[1239754.4080812854, 72708751309632.16]
["2016", "10"]	[989291.0377268059, 88084306677558.62]
["2016", "12"]	[1420966.420770878, 81620432517653.64]
["2017", "02"]	[1594969.164809835, 130438449525581.77]
["2017", "04"]	[1636672.635781005, 278467790990791.1]
["2017", "06"]	[3730226.7347838604, 748864389603084.8]
["2017", "08"]	[5724477.568567611, 1815109248848101.5]
["2017", "11"]	[5984028.924169609, 1465338813397301.2]
["2018", "01"]	[7583611.642400637, 2250010920771103.5]
["2018", "03"]	[7107875.709015946, 3201791840962772.0]
["2018", "05"]	[7710297.813332786, 3260816559034257.5]
["2018", "07"]	[7691812.627910354, 3454264351592171.5]
["2018", "09"]	[7652196.720304907, 3255259820702298.5]
["2018", "10"]	[7274765.667196118, 3187277567051765.0]
["2018", "12"]	[7246771.347853503, 2354652049889461.5]
["2019", "02"]	[7325267.441476677, 2666442177822670.0]
["2019", "04"]	[7231753.62817928, 1870018219496794.0]
["2019", "06"]	[7646949.620029971, 2068085609513129.2]
